timestamp,x,y,velocity,altitude,mode,battery,signal
2026-04-01T21:56:24.389486,5.0,0.0,5.0,16.2,MANUAL,0,3
2026-04-01T21:56:24.390394,10.0,0.0,5.0,17.1,MANUAL,0,4
2026-04-01T21:56:24.390576,15.0,0.0,5.0,18.0,MANUAL,0,4
2026-04-01T21:56:24.393293,20.0,0.0,5.0,18.7,MANUAL,0,4
2026-04-01T21:56:24.393481,25.0,0.0,5.0,19.3,MANUAL,0,4
2026-04-01T21:56:24.394293,30.0,0.0,5.0,19.7,MANUAL,0,4
2026-04-01T21:56:24.394451,35.0,0.0,5.0,20.0,MANUAL,0,4
2026-04-01T21:56:24.394586,40.0,0.0,5.0,20.0,MANUAL,0,4
2026-04-01T21:56:24.988924,45.0,0.0,5.0,19.8,MANUAL,0,3
2026-04-01T21:56:25.593914,50.0,0.0,5.0,19.5,MANUAL,0,3
2026-04-01T21:56:26.285961,50.0,5.0,5.0,18.9,MANUAL,0,3
2026-04-01T21:56:27.028969,0.0,0.0,5.0,15.0,WAYPOINT,99,3
2026-04-01T21:56:27.611125,50.0,10.0,5.0,18.2,MANUAL,0,3
2026-04-01T21:56:27.989089,5.0,0.0,5.0,16.0,WAYPOINT,99,3
2026-04-01T21:56:28.469752,50.0,15.0,5.0,17.4,MANUAL,0,4
2026-04-01T21:56:28.969029,10.0,0.0,5.0,16.9,WAYPOINT,98,4
2026-04-01T21:56:29.429907,50.0,20.0,5.0,16.5,MANUAL,0,4
2026-04-01T21:56:30.029602,15.0,0.0,5.0,17.8,WAYPOINT,98,4
2026-04-01T21:56:30.509122,50.0,25.0,5.0,15.5,MANUAL,0,4
2026-04-01T21:56:31.449724,20.0,0.0,5.0,18.6,WAYPOINT,97,4
2026-04-01T21:56:31.544435,50.0,30.0,5.0,14.5,MANUAL,0,4
2026-04-01T21:56:32.109329,25.0,0.0,5.0,19.2,WAYPOINT,97,4
2026-04-01T21:56:35.942144,50.0,35.0,5.0,13.6,MANUAL,0,4
2026-04-01T21:56:41.935197,50.0,40.0,5.0,12.6,MANUAL,0,4
2026-04-01T21:56:43.244326,50.0,45.0,5.0,11.8,MANUAL,0,4
2026-04-01T21:56:43.957803,50.0,50.0,5.0,11.1,MANUAL,0,3
2026-04-01T21:56:45.291916,45.0,50.0,5.0,10.6,MANUAL,0,3
2026-04-01T21:56:45.292096,40.0,50.0,5.0,10.2,MANUAL,0,3
2026-04-01T21:56:45.292948,35.0,50.0,5.0,10.0,MANUAL,0,4
2026-04-01T21:56:46.378784,30.0,50.0,5.0,10.0,MANUAL,0,4
2026-04-01T21:56:46.378937,25.0,50.0,5.0,10.3,MANUAL,0,4
2026-04-01T21:56:46.379069,30.0,0.0,5.0,19.7,WAYPOINT,96,4
2026-04-01T21:56:47.817225,20.0,50.0,5.0,10.7,MANUAL,0,4
2026-04-01T21:56:48.166286,35.0,0.0,5.0,19.9,WAYPOINT,96,4
2026-04-01T21:56:48.166839,40.0,0.0,5.0,20.0,WAYPOINT,95,4
2026-04-01T21:56:48.169959,45.0,0.0,5.0,19.9,WAYPOINT,95,3
2026-04-01T21:56:48.170133,50.0,0.0,5.0,19.5,WAYPOINT,94,3
2026-04-01T21:56:48.880978,50.0,5.0,5.0,19.0,WAYPOINT,94,3
2026-04-01T21:56:48.881146,50.0,10.0,5.0,18.4,WAYPOINT,93,3
2026-04-01T21:56:48.881270,50.0,15.0,5.0,17.6,WAYPOINT,93,4
2026-04-01T21:56:48.881382,50.0,20.0,5.0,16.7,WAYPOINT,92,4
2026-04-01T21:56:48.881491,50.0,25.0,5.0,15.7,WAYPOINT,92,4
2026-04-01T21:56:49.848855,15.0,50.0,5.0,11.3,MANUAL,0,4
2026-04-01T21:56:49.849056,50.0,30.0,5.0,14.7,WAYPOINT,91,4
2026-04-01T21:56:49.852132,10.0,50.0,5.0,12.0,MANUAL,0,4
2026-04-01T21:56:49.852290,50.0,35.0,5.0,13.7,WAYPOINT,91,4
2026-04-01T21:56:49.852684,5.0,50.0,5.0,12.8,MANUAL,0,4
2026-04-01T21:56:50.680822,50.0,40.0,5.0,12.8,WAYPOINT,90,4
2026-04-01T21:56:50.681070,0.0,50.0,5.0,13.8,MANUAL,0,3
2026-04-01T21:56:50.681188,50.0,45.0,5.0,11.9,WAYPOINT,90,4
2026-04-01T21:56:50.684127,0.0,45.0,5.0,14.8,MANUAL,0,3
2026-04-01T21:56:50.684278,50.0,50.0,5.0,11.2,WAYPOINT,89,3
2026-04-01T21:56:50.684573,0.0,40.0,5.0,15.8,MANUAL,0,3
2026-04-01T21:56:50.684701,45.0,50.0,5.0,10.6,WAYPOINT,89,3
2026-04-01T21:56:51.166175,0.0,35.0,5.0,16.7,MANUAL,0,4
